위치	식별자	X	Y
1	0	0	0
2	3	0.620000000000000	-7.79000000000000
3	5	8.46000000000000	2.99000000000000
4	8	-2.54000000000000	7.67000000000000
5	1	3.24000000000000	7.77000000000000
6	1	5.40000000000000	3.78000000000000
7	2	4.83000000000000	-2.37000000000000
8	2	4.24000000000000	8.92000000000000
9	3	7.55000000000000	-0.800000000000000
10	6	-2.50000000000000	-1.41000000000000
11	11	3.78000000000000	-0.520000000000000
12	7	-1.59000000000000	4.21000000000000
13	6	-0.260000000000000	-6.19000000000000
14	10	0.680000000000000	7.55000000000000
15	4	-6.81000000000000	5.73000000000000
16	1	3.51000000000000	1.88000000000000
17	9	-8.80000000000000	3.37000000000000
18	1	-2.22000000000000	-2.94000000000000
19	5	6.40000000000000	0.0200000000000000
20	1	-5.68000000000000	7.96000000000000
21	3	-1.78000000000000	9.71000000000000
22	9	-2.15000000000000	1.83000000000000
23	5	-4.33000000000000	-3.62000000000000
24	10	3.22000000000000	-3.09000000000000
25	7	0.230000000000000	9.55000000000000
26	9	-2.77000000000000	-6.55000000000000
27	2	3.38000000000000	-4.49000000000000
28	6	-3.03000000000000	-9.04000000000000
29	3	7.23000000000000	5.15000000000000
30	11	-3.67000000000000	6.70000000000000
31	8	2.82000000000000	-0.160000000000000
32	4	7.36000000000000	2.36000000000000
33	2	-2.14000000000000	6.51000000000000
34	4	4.80000000000000	5.99000000000000
35	4	4.37000000000000	-3.46000000000000
36	7	-7.23000000000000	-6.13000000000000
37	9	-5.04000000000000	0.510000000000000
38	5	-0.800000000000000	-5.35000000000000
39	9	2.04000000000000	0.640000000000000
40	11	2.09000000000000	3.87000000000000
41	10	5.54000000000000	-6.49000000000000
42	7	8.67000000000000	0.180000000000000
43	3	-0.540000000000000	-2.84000000000000
44	10	8.20000000000000	-2.90000000000000
45	2	9.68000000000000	1.98000000000000
46	10	0.700000000000000	-1.48000000000000
47	11	-1.53000000000000	-9.82000000000000
48	11	3.35000000000000	-9.39000000000000
49	5	-9.72000000000000	-0.850000000000000
50	3	-4.27000000000000	-6.72000000000000
51	5	-0.100000000000000	4.72000000000000
52	7	5.40000000000000	-0.920000000000000
53	9	-0.760000000000000	2.44000000000000
54	6	1.24000000000000	1.45000000000000
55	5	8.33000000000000	-5.53000000000000
56	4	-3.62000000000000	5.58000000000000
57	11	6.03000000000000	2.10000000000000
58	4	4.04000000000000	-7.17000000000000
59	6	-7.76000000000000	3.07000000000000
60	6	-4.29000000000000	-2.36000000000000
61	10	9.24000000000000	-3.49000000000000
62	1	4.55000000000000	4.36000000000000
63	4	3.78000000000000	6.28000000000000
64	11	0.490000000000000	-8.80000000000000
65	8	2.55000000000000	5.84000000000000
66	2	-8.13000000000000	2.04000000000000
67	6	-1.25000000000000	8.69000000000000
68	10	-0.400000000000000	-3.90000000000000
69	8	-5.05000000000000	-1.70000000000000
70	2	-0.910000000000000	-0.670000000000000
71	4	2.38000000000000	9.43000000000000
72	5	-5.91000000000000	2.89000000000000
73	6	0.870000000000000	-3.27000000000000
74	2	-8.33000000000000	0.300000000000000
75	7	0.280000000000000	6.43000000000000
76	8	-5.50000000000000	-4.94000000000000
77	8	2.36000000000000	-8.13000000000000
78	11	-5.31000000000000	-6.20000000000000
79	7	-4.11000000000000	-5.47000000000000
80	6	5.23000000000000	7.74000000000000
81	5	-6.72000000000000	-2.69000000000000
82	8	1.95000000000000	-9.51000000000000
83	11	-0.990000000000000	-8.75000000000000
84	2	5.79000000000000	-3.34000000000000
85	9	3.63000000000000	5.07000000000000
86	7	4.56000000000000	-4.67000000000000
87	10	1.38000000000000	5.81000000000000
88	1	5.84000000000000	0.940000000000000
89	1	-3.27000000000000	2.10000000000000
90	9	1.38000000000000	9.17000000000000
91	1	6.20000000000000	-1.89000000000000
92	8	-1.40000000000000	-6.95000000000000
93	3	4.29000000000000	0.440000000000000
94	10	-0.910000000000000	0.500000000000000
95	9	6.61000000000000	-5.62000000000000
96	3	-4.99000000000000	1.62000000000000
97	4	-5.80000000000000	-0.560000000000000
98	8	1.37000000000000	-4.86000000000000
99	7	-6.53000000000000	4.76000000000000
100	3	-5.24000000000000	-8.26000000000000
