0	0
0.62	-7.79
8.46	2.99
-2.54	7.67
3.24	7.77
5.4	3.78
4.83	-2.37
4.24	8.92
7.55	-0.8
-2.5	-1.41
3.78	-0.52
-1.59	4.21
-0.26	-6.19
0.68	7.55
-6.81	5.73
3.51	1.88
-8.8	3.37
-2.22	-2.94
6.4	0.02
-5.68	7.96
-1.78	9.71
-2.15	1.83
-4.33	-3.62
3.22	-3.09
0.23	9.55
-2.77	-6.55
3.38	-4.49
-3.03	-9.04
7.23	5.15
-3.67	6.7
2.82	-0.16
7.36	2.36
-2.14	6.51
4.8	5.99
4.37	-3.46
-7.23	-6.13
-5.04	0.51
-0.8	-5.35
2.04	0.64
2.09	3.87
5.54	-6.49
8.67	0.18
-0.54	-2.84
8.2	-2.9
9.68	1.98
0.7	-1.48
-1.53	-9.82
3.35	-9.39
-9.72	-0.85
-4.27	-6.72
-0.1	4.72
5.4	-0.92
-0.76	2.44
1.24	1.45
8.33	-5.53
-3.62	5.58
6.03	2.1
4.04	-7.17
-7.76	3.07
-4.29	-2.36
9.24	-3.49
4.55	4.36
3.78	6.28
0.49	-8.8
2.55	5.84
-8.13	2.04
-1.25	8.69
-0.4	-3.9
-5.05	-1.7
-0.91	-0.67
2.38	9.43
-5.91	2.89
0.87	-3.27
-8.33	0.3
0.28	6.43
-5.5	-4.94
2.36	-8.13
-5.31	-6.2
-4.11	-5.47
5.23	7.74
-6.72	-2.69
1.95	-9.51
-0.99	-8.75
5.79	-3.34
3.63	5.07
4.56	-4.67
1.38	5.81
5.84	0.94
-3.27	2.1
1.38	9.17
6.2	-1.89
-1.4	-6.95
4.29	0.44
-0.91	0.5
6.61	-5.62
-4.99	1.62
-5.8	-0.56
1.37	-4.86
-6.53	4.76
-5.24	-8.26
